#obsid (GPS seconds), beam elevation [deg], beam azimuth [deg], lst [hours], delay settings 
1061313008,76.284,90.0,23.086,0;2;4;6;0;2;4;6;0;2;4;6;0;2;4;6
1061313128,76.284,90.0,23.12,0;2;4;6;0;2;4;6;0;2;4;6;0;2;4;6
1061313248,76.284,90.0,23.153,0;2;4;6;0;2;4;6;0;2;4;6;0;2;4;6
1061313368,76.284,90.0,23.187,0;2;4;6;0;2;4;6;0;2;4;6;0;2;4;6
1061313496,76.284,90.0,23.222,0;2;4;6;0;2;4;6;0;2;4;6;0;2;4;6
1061313616,83.191,90.0,23.256,0;1;2;3;0;1;2;3;0;1;2;3;0;1;2;3
1061313736,83.191,90.0,23.289,0;1;2;3;0;1;2;3;0;1;2;3;0;1;2;3
1061313856,83.191,90.0,23.322,0;1;2;3;0;1;2;3;0;1;2;3;0;1;2;3
1061313984,83.191,90.0,23.358,0;1;2;3;0;1;2;3;0;1;2;3;0;1;2;3
1061314104,83.191,90.0,23.392,0;1;2;3;0;1;2;3;0;1;2;3;0;1;2;3
1061314224,83.191,90.0,23.425,0;1;2;3;0;1;2;3;0;1;2;3;0;1;2;3
1061314344,83.191,90.0,23.458,0;1;2;3;0;1;2;3;0;1;2;3;0;1;2;3
1061314472,83.191,90.0,23.494,0;1;2;3;0;1;2;3;0;1;2;3;0;1;2;3
1061314592,83.191,90.0,23.527,0;1;2;3;0;1;2;3;0;1;2;3;0;1;2;3
1061314712,83.191,90.0,23.561,0;1;2;3;0;1;2;3;0;1;2;3;0;1;2;3
1061314832,83.191,90.0,23.594,0;1;2;3;0;1;2;3;0;1;2;3;0;1;2;3
1061314960,83.191,90.0,23.63,0;1;2;3;0;1;2;3;0;1;2;3;0;1;2;3
1061315080,83.191,90.0,23.663,0;1;2;3;0;1;2;3;0;1;2;3;0;1;2;3
1061315200,83.191,90.0,23.697,0;1;2;3;0;1;2;3;0;1;2;3;0;1;2;3
1061315320,83.191,90.0,23.73,0;1;2;3;0;1;2;3;0;1;2;3;0;1;2;3
1061315448,90.0,0.0,23.766,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1061315568,90.0,0.0,23.799,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1061315688,90.0,0.0,23.833,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1061315808,90.0,0.0,23.866,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1061315936,90.0,0.0,23.902,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1061316056,90.0,0.0,23.935,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1061316176,90.0,0.0,23.969,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1061316296,90.0,0.0,0.002,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1061316424,90.0,0.0,0.038,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1061316544,90.0,0.0,0.071,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1061316664,90.0,0.0,0.105,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1061316784,90.0,0.0,0.138,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
